Day_of_Year,glorad,Station_ID
01-01,"(np.float64(0.5340729293970016), np.float64(0.5750554974102751), 0, 1)",WeatherAthenryProcessed
01-02,"(np.float64(0.42599943586157346), np.float64(0.5841647882342542), 0, 1)",WeatherAthenryProcessed
01-03,"(np.float64(0.6017213028602485), np.float64(0.685002241415614), 0, 1)",WeatherAthenryProcessed
01-04,"(np.float64(0.5889838962651331), np.float64(0.6466008067817447), 0, 1)",WeatherAthenryProcessed
01-05,"(np.float64(0.5670414023262063), np.float64(0.6780740301548795), 0, 1)",WeatherAthenryProcessed
01-06,"(np.float64(0.42006679490782506), np.float64(0.44009808735998623), 0, 1)",WeatherAthenryProcessed
01-07,"(np.float64(0.43515108314224354), np.float64(0.5190251951690523), 0, 1)",WeatherAthenryProcessed
01-08,"(np.float64(0.7253647341470769), np.float64(0.6882665277323565), 0, 1)",WeatherAthenryProcessed
01-09,"(np.float64(0.5837128061218376), np.float64(0.5098647224438599), 0, 1)",WeatherAthenryProcessed
01-10,"(1.0, 1.0, 0.0, 1.0)",WeatherAthenryProcessed
01-11,"(np.float64(0.5425365605246586), np.float64(0.5442738830006774), 0, 1)",WeatherAthenryProcessed
01-12,"(np.float64(0.42910507837436634), np.float64(0.5294404131196835), 0, 1)",WeatherAthenryProcessed
01-13,"(np.float64(0.5407320534602879), np.float64(0.7819478484991477), 0, 1)",WeatherAthenryProcessed
01-14,"(np.float64(0.5790174532952187), np.float64(0.5741361098780207), 0, 1)",WeatherAthenryProcessed
01-15,"(np.float64(0.6718867618335277), np.float64(0.5165345304424823), 0, 1)",WeatherAthenryProcessed
01-16,"(np.float64(0.556851184758758), np.float64(0.5183532184767802), 0, 1)",WeatherAthenryProcessed
01-17,"(np.float64(0.6624077280356274), np.float64(0.7180286083855054), 0, 1)",WeatherAthenryProcessed
01-18,"(np.float64(0.5786833306910651), np.float64(0.5734601160480588), 0, 1)",WeatherAthenryProcessed
01-19,"(np.float64(0.6253148162057843), np.float64(0.5532865402245088), 0, 1)",WeatherAthenryProcessed
01-20,"(np.float64(0.4559912724324165), np.float64(0.5884599599457991), 0, 1)",WeatherAthenryProcessed
01-21,"(np.float64(0.5426262612999331), np.float64(0.6741416776776962), 0, 1)",WeatherAthenryProcessed
01-22,"(np.float64(0.614025723853496), np.float64(0.5321583977802244), 0, 1)",WeatherAthenryProcessed
01-23,"(np.float64(0.5515788712213202), np.float64(0.7290630147423927), 0, 1)",WeatherAthenryProcessed
01-24,"(np.float64(0.5761804042758667), np.float64(0.5967712512412622), 0, 1)",WeatherAthenryProcessed
01-25,"(1.0, 1.0, 0.0, 1.0)",WeatherAthenryProcessed
01-26,"(np.float64(0.5652884484543156), np.float64(0.7151989591581466), 0, 1)",WeatherAthenryProcessed
01-27,"(np.float64(0.6253054970859858), np.float64(0.7270061297636801), 0, 1)",WeatherAthenryProcessed
01-28,"(np.float64(0.41741551344343114), np.float64(0.641894831658459), 0, 1)",WeatherAthenryProcessed
01-29,"(np.float64(0.6360141346735557), np.float64(0.6066831540072545), 0, 1)",WeatherAthenryProcessed
01-30,"(np.float64(0.495648685330683), np.float64(0.7225045165738643), 0, 1)",WeatherAthenryProcessed
01-31,"(np.float64(0.5885193817659179), np.float64(0.6624712322983021), 0, 1)",WeatherAthenryProcessed
02-01,"(np.float64(0.6544614064967429), np.float64(0.5534269926204924), 0, 1)",WeatherAthenryProcessed
02-02,"(np.float64(0.5280623130305537), np.float64(0.5414641065311214), 0, 1)",WeatherAthenryProcessed
02-03,"(np.float64(0.5292133243949578), np.float64(0.503135039594226), 0, 1)",WeatherAthenryProcessed
02-04,"(np.float64(0.526501090511191), np.float64(0.506069766254725), 0, 1)",WeatherAthenryProcessed
02-05,"(np.float64(0.4590122490010937), np.float64(0.47831508435860776), 0, 1)",WeatherAthenryProcessed
02-06,"(np.float64(0.38165044124518416), np.float64(0.49721649622873954), 0, 1)",WeatherAthenryProcessed
02-07,"(np.float64(0.42860325713938546), np.float64(0.6587438183085578), 0, 1)",WeatherAthenryProcessed
02-08,"(np.float64(0.5323109901577187), np.float64(0.6166500108721351), 0, 1)",WeatherAthenryProcessed
02-09,"(np.float64(0.4907091662719249), np.float64(0.5111355798565178), 0, 1)",WeatherAthenryProcessed
02-10,"(np.float64(0.5112917175977548), np.float64(0.6115112351035503), 0, 1)",WeatherAthenryProcessed
02-11,"(np.float64(0.5026651005740808), np.float64(0.5173983210688644), 0, 1)",WeatherAthenryProcessed
02-12,"(np.float64(0.4621436648080186), np.float64(0.686203034286847), 0, 1)",WeatherAthenryProcessed
02-13,"(np.float64(0.6121421322389361), np.float64(0.7443879583589397), 0, 1)",WeatherAthenryProcessed
02-14,"(np.float64(0.5615067417287001), np.float64(0.6091052683804418), 0, 1)",WeatherAthenryProcessed
02-15,"(np.float64(0.5373907772862139), np.float64(0.5460480838791983), 0, 1)",WeatherAthenryProcessed
02-16,"(np.float64(0.4856513481427989), np.float64(0.6362208604332011), 0, 1)",WeatherAthenryProcessed
02-17,"(np.float64(0.5334953725027355), np.float64(0.5644839105314162), 0, 1)",WeatherAthenryProcessed
02-18,"(np.float64(0.5010730446699553), np.float64(0.5002547826986936), 0, 1)",WeatherAthenryProcessed
02-19,"(np.float64(0.5798160985538552), np.float64(0.6111638578430859), 0, 1)",WeatherAthenryProcessed
02-20,"(np.float64(0.48734600221117835), np.float64(0.7088412377891877), 0, 1)",WeatherAthenryProcessed
02-21,"(np.float64(0.47945620481543527), np.float64(0.5854363505706099), 0, 1)",WeatherAthenryProcessed
02-22,"(np.float64(0.43712514889860876), np.float64(0.5304651609978055), 0, 1)",WeatherAthenryProcessed
02-23,"(np.float64(0.5162227297748152), np.float64(0.7025360831781997), 0, 1)",WeatherAthenryProcessed
02-24,"(np.float64(0.47724814388409026), np.float64(0.6858412202371829), 0, 1)",WeatherAthenryProcessed
02-25,"(np.float64(0.6524600351824751), np.float64(0.6202548801402015), 0, 1)",WeatherAthenryProcessed
02-26,"(np.float64(0.6509202241731137), np.float64(0.5494137684864223), 0, 1)",WeatherAthenryProcessed
02-27,"(np.float64(0.6615612810737501), np.float64(0.5278746093571299), 0, 1)",WeatherAthenryProcessed
02-28,"(np.float64(0.5714401532431149), np.float64(0.6974396910813666), 0, 1)",WeatherAthenryProcessed
02-29,"(np.float64(0.2461143846418011), np.float64(0.28453140954199063), 0, 1)",WeatherAthenryProcessed
03-01,"(np.float64(0.575263041761808), np.float64(0.5066307061637187), 0, 1)",WeatherAthenryProcessed
03-02,"(np.float64(0.703178798565153), np.float64(0.644673231921261), 0, 1)",WeatherAthenryProcessed
03-03,"(np.float64(0.5263876887449012), np.float64(0.5837089687007727), 0, 1)",WeatherAthenryProcessed
03-04,"(np.float64(0.5098467044779421), np.float64(0.5417411125031037), 0, 1)",WeatherAthenryProcessed
03-05,"(np.float64(0.4449804521858859), np.float64(0.5076108789526433), 0, 1)",WeatherAthenryProcessed
03-06,"(np.float64(0.5135191661773633), np.float64(0.7029558307934058), 0, 1)",WeatherAthenryProcessed
03-07,"(np.float64(0.509853889405466), np.float64(0.4858937666340227), 0, 1)",WeatherAthenryProcessed
03-08,"(np.float64(0.5100954923529716), np.float64(0.7380988461634707), 0, 1)",WeatherAthenryProcessed
03-09,"(np.float64(0.42188556878271327), np.float64(0.6391615913194849), 0, 1)",WeatherAthenryProcessed
03-10,"(np.float64(0.45985842838936614), np.float64(0.4213054803570101), 0, 1)",WeatherAthenryProcessed
03-11,"(np.float64(0.5185538939702945), np.float64(0.6575415969790798), 0, 1)",WeatherAthenryProcessed
03-12,"(np.float64(0.5026072937288101), np.float64(0.47087108106876274), 0, 1)",WeatherAthenryProcessed
03-13,"(np.float64(0.5382123701611653), np.float64(0.7869129430850028), 0, 1)",WeatherAthenryProcessed
03-14,"(np.float64(0.49980632383853074), np.float64(0.49106830382471045), 0, 1)",WeatherAthenryProcessed
03-15,"(np.float64(0.5398325427988221), np.float64(0.5523875008647849), 0, 1)",WeatherAthenryProcessed
03-16,"(np.float64(0.48219386912482876), np.float64(0.5083166754152071), 0, 1)",WeatherAthenryProcessed
03-17,"(np.float64(0.5890508484794658), np.float64(0.47037242318241945), 0, 1)",WeatherAthenryProcessed
03-18,"(np.float64(0.6033737885733019), np.float64(0.5745263696835935), 0, 1)",WeatherAthenryProcessed
03-19,"(np.float64(0.6296775297037419), np.float64(0.5532012121770078), 0, 1)",WeatherAthenryProcessed
03-20,"(np.float64(0.5461885894848697), np.float64(0.6385711518398582), 0, 1)",WeatherAthenryProcessed
03-21,"(np.float64(0.425136211932947), np.float64(0.5493378416892236), 0, 1)",WeatherAthenryProcessed
03-22,"(np.float64(0.6386185774577195), np.float64(0.5183645405232059), 0, 1)",WeatherAthenryProcessed
03-23,"(np.float64(0.46221392370805614), np.float64(0.5131987747063269), 0, 1)",WeatherAthenryProcessed
03-24,"(np.float64(0.5238794548861656), np.float64(0.5953902204406094), 0, 1)",WeatherAthenryProcessed
03-25,"(np.float64(0.6873606050370449), np.float64(0.6703764705798078), 0, 1)",WeatherAthenryProcessed
03-26,"(np.float64(0.5060785415473456), np.float64(0.40467211614997695), 0, 1)",WeatherAthenryProcessed
03-27,"(np.float64(0.534492494382992), np.float64(0.491399875175377), 0, 1)",WeatherAthenryProcessed
03-28,"(np.float64(0.7775640137970244), np.float64(0.5184368087729312), 0, 1)",WeatherAthenryProcessed
03-29,"(np.float64(0.6361916388255859), np.float64(0.6417985148536385), 0, 1)",WeatherAthenryProcessed
03-30,"(np.float64(0.6030184849220397), np.float64(0.4774242003419779), 0, 1)",WeatherAthenryProcessed
03-31,"(np.float64(0.5574579575713665), np.float64(0.5352905989334414), 0, 1)",WeatherAthenryProcessed
04-01,"(np.float64(0.6262895218935338), np.float64(0.7785125119325875), 0, 1)",WeatherAthenryProcessed
04-02,"(np.float64(0.5427500646588964), np.float64(0.6076706558489261), 0, 1)",WeatherAthenryProcessed
04-03,"(np.float64(0.5587682928221888), np.float64(0.5921239663972117), 0, 1)",WeatherAthenryProcessed
04-04,"(np.float64(0.723211070434544), np.float64(0.6607719146779363), 0, 1)",WeatherAthenryProcessed
04-05,"(np.float64(0.701120097752432), np.float64(0.7059149426137958), 0, 1)",WeatherAthenryProcessed
04-06,"(np.float64(0.5085785041530695), np.float64(0.4847165841385296), 0, 1)",WeatherAthenryProcessed
04-07,"(np.float64(0.693671116835519), np.float64(0.6927962997831697), 0, 1)",WeatherAthenryProcessed
04-08,"(np.float64(0.48691836073515893), np.float64(0.40947897074723016), 0, 1)",WeatherAthenryProcessed
04-09,"(np.float64(0.6224724891405253), np.float64(0.4512115065987249), 0, 1)",WeatherAthenryProcessed
04-10,"(np.float64(0.6707170215279367), np.float64(0.6928538806421005), 0, 1)",WeatherAthenryProcessed
04-11,"(np.float64(0.43842456706745364), np.float64(0.5124891283124232), 0, 1)",WeatherAthenryProcessed
04-12,"(np.float64(0.5473828594890087), np.float64(0.6549737639240867), 0, 1)",WeatherAthenryProcessed
04-13,"(np.float64(0.6767802968722482), np.float64(0.6925038133209598), 0, 1)",WeatherAthenryProcessed
04-14,"(np.float64(0.6272426063120022), np.float64(0.6225714492801885), 0, 1)",WeatherAthenryProcessed
04-15,"(np.float64(0.6790054694475166), np.float64(0.5921360161836745), 0, 1)",WeatherAthenryProcessed
04-16,"(np.float64(0.5030841430425974), np.float64(0.4261754848605841), 0, 1)",WeatherAthenryProcessed
04-17,"(np.float64(0.4578280979004296), np.float64(0.6584561470743048), 0, 1)",WeatherAthenryProcessed
04-18,"(np.float64(0.6632497465177534), np.float64(0.6180393676707259), 0, 1)",WeatherAthenryProcessed
04-19,"(np.float64(0.6377092318162207), np.float64(0.4969965699361616), 0, 1)",WeatherAthenryProcessed
04-20,"(np.float64(0.7082138200773732), np.float64(0.570530966134632), 0, 1)",WeatherAthenryProcessed
04-21,"(np.float64(0.8040530875722105), np.float64(0.5100277331276073), 0, 1)",WeatherAthenryProcessed
04-22,"(np.float64(0.6799724256364528), np.float64(0.5934145576599508), 0, 1)",WeatherAthenryProcessed
04-23,"(np.float64(0.6456263963321436), np.float64(0.48232450391683884), 0, 1)",WeatherAthenryProcessed
04-24,"(np.float64(0.5661587397318375), np.float64(0.556776915762538), 0, 1)",WeatherAthenryProcessed
04-25,"(np.float64(0.7204790352060614), np.float64(0.6608336217457064), 0, 1)",WeatherAthenryProcessed
04-26,"(np.float64(0.6721142602460216), np.float64(0.8035600001595725), 0, 1)",WeatherAthenryProcessed
04-27,"(np.float64(0.571460353351265), np.float64(0.48551491671544833), 0, 1)",WeatherAthenryProcessed
