Day_of_Year,wdsp^3,Station_ID
01-01,"(np.float64(0.795964569868844), 0, np.float64(644.5247959652238))",WeatherAthenryProcessed
01-02,"(np.float64(0.9078321721059406), 0, np.float64(809.2946048969143))",WeatherAthenryProcessed
01-03,"(np.float64(0.6281953325514749), 0, np.float64(989.197239908411))",WeatherAthenryProcessed
01-04,"(np.float64(0.6949484199280376), 0, np.float64(571.267548588359))",WeatherAthenryProcessed
01-05,"(np.float64(0.9018605319930948), 0, np.float64(506.37626864155044))",WeatherAthenryProcessed
01-06,"(np.float64(0.7263260181387605), 0, np.float64(581.6404898766699))",WeatherAthenryProcessed
01-07,"(np.float64(0.8080464306523314), 0, np.float64(726.6805200160038))",WeatherAthenryProcessed
01-08,"(np.float64(0.9446296257294269), 0, np.float64(369.33614565843266))",WeatherAthenryProcessed
01-09,"(np.float64(0.6035593569892056), 0, np.float64(463.9325416843333))",WeatherAthenryProcessed
01-10,"(np.float64(0.8546536177460479), 0, np.float64(691.0903265491462))",WeatherAthenryProcessed
01-11,"(np.float64(0.8268231241307908), 0, np.float64(918.1485439721175))",WeatherAthenryProcessed
01-12,"(np.float64(0.8938944710170555), 0, np.float64(1020.6057486691113))",WeatherAthenryProcessed
01-13,"(np.float64(0.6775282873299083), 0, np.float64(496.5525221605771))",WeatherAthenryProcessed
01-14,"(np.float64(1.0576129021539118), 0, np.float64(619.6467084713322))",WeatherAthenryProcessed
01-15,"(np.float64(0.6650031104524625), 0, np.float64(774.7832713540492))",WeatherAthenryProcessed
01-16,"(np.float64(0.6965288782093935), 0, np.float64(430.53791387084914))",WeatherAthenryProcessed
01-17,"(np.float64(0.7428885395213988), 0, np.float64(235.6125213116774))",WeatherAthenryProcessed
01-18,"(np.float64(0.9558858671609697), 0, np.float64(149.45447839567734))",WeatherAthenryProcessed
01-19,"(np.float64(0.757837652314276), 0, np.float64(211.17907704165188))",WeatherAthenryProcessed
01-20,"(np.float64(0.8174110747845793), 0, np.float64(380.25779259773464))",WeatherAthenryProcessed
01-21,"(np.float64(0.62621334163403), 0, np.float64(571.6211875441666))",WeatherAthenryProcessed
01-22,"(np.float64(0.6056856751299342), 0, np.float64(312.63124286406327))",WeatherAthenryProcessed
01-23,"(np.float64(0.553783191576309), 0, np.float64(407.7131416377299))",WeatherAthenryProcessed
01-24,"(np.float64(0.817576806915523), 0, np.float64(599.7240378136532))",WeatherAthenryProcessed
01-25,"(np.float64(1.0228406500329958), 0, np.float64(1051.6371131802196))",WeatherAthenryProcessed
01-26,"(np.float64(0.8976291300337357), 0, np.float64(1331.2956588346315))",WeatherAthenryProcessed
01-27,"(np.float64(0.814689959885423), 0, np.float64(770.0517766576033))",WeatherAthenryProcessed
01-28,"(np.float64(0.6770025703703731), 0, np.float64(1235.23152091873))",WeatherAthenryProcessed
01-29,"(np.float64(0.7709505866932848), 0, np.float64(724.6699174627217))",WeatherAthenryProcessed
01-30,"(np.float64(0.9531808965065818), 0, np.float64(824.72950626849))",WeatherAthenryProcessed
01-31,"(np.float64(1.2541920266822881), 0, np.float64(1802.8465632950258))",WeatherAthenryProcessed
02-01,"(np.float64(0.8052396644685524), 0, np.float64(1493.4293449443755))",WeatherAthenryProcessed
02-02,"(np.float64(0.7563170804071739), 0, np.float64(987.6613072946101))",WeatherAthenryProcessed
02-03,"(np.float64(1.3707622805892714), 0, np.float64(998.4984284361879))",WeatherAthenryProcessed
02-04,"(np.float64(0.6190711504382379), 0, np.float64(996.7714546183349))",WeatherAthenryProcessed
02-05,"(np.float64(0.6427665605082367), 0, np.float64(616.9257221183198))",WeatherAthenryProcessed
02-06,"(np.float64(0.9750700457477703), 0, np.float64(520.9259929379502))",WeatherAthenryProcessed
02-07,"(np.float64(0.9262338141387085), 0, np.float64(690.0339143052264))",WeatherAthenryProcessed
02-08,"(np.float64(0.8287001514759538), 0, np.float64(1385.5877193964418))",WeatherAthenryProcessed
02-09,"(np.float64(0.8313788999131477), 0, np.float64(857.2208548228623))",WeatherAthenryProcessed
02-10,"(np.float64(0.7506040511177324), 0, np.float64(525.2730575542676))",WeatherAthenryProcessed
02-11,"(np.float64(0.7607300060140554), 0, np.float64(426.4235050434605))",WeatherAthenryProcessed
02-12,"(np.float64(0.9438638937008484), 0, np.float64(840.9249051503703))",WeatherAthenryProcessed
02-13,"(np.float64(0.8603991322578068), 0, np.float64(934.376656834507))",WeatherAthenryProcessed
02-14,"(np.float64(1.35779266985063), 0, np.float64(946.2143844923512))",WeatherAthenryProcessed
02-15,"(np.float64(1.24354190938955), 0, np.float64(918.5089165719484))",WeatherAthenryProcessed
02-16,"(np.float64(0.9212702879661492), 0, np.float64(1336.6802949691719))",WeatherAthenryProcessed
02-17,"(np.float64(0.9741685117219281), 0, np.float64(874.8824894614775))",WeatherAthenryProcessed
02-18,"(np.float64(1.4286108121495036), 0, np.float64(868.4322773281408))",WeatherAthenryProcessed
02-19,"(np.float64(1.6968004479375929), 0, np.float64(801.1494446721183))",WeatherAthenryProcessed
02-20,"(np.float64(0.9437473291882147), 0, np.float64(1314.2229599648726))",WeatherAthenryProcessed
02-21,"(np.float64(0.8550011025228461), 0, np.float64(1732.033569338308))",WeatherAthenryProcessed
02-22,"(np.float64(1.1711283505367236), 0, np.float64(1232.3593430404171))",WeatherAthenryProcessed
02-23,"(np.float64(0.8339550600148505), 0, np.float64(1365.1250001812664))",WeatherAthenryProcessed
02-24,"(np.float64(1.371671563860043), 0, np.float64(674.3624246630696))",WeatherAthenryProcessed
02-25,"(np.float64(0.9806193254081762), 0, np.float64(742.9649400579707))",WeatherAthenryProcessed
02-26,"(np.float64(1.0087571552757468), 0, np.float64(660.0868729247632))",WeatherAthenryProcessed
02-27,"(np.float64(0.8655466003057211), 0, np.float64(420.6800257612191))",WeatherAthenryProcessed
02-28,"(np.float64(0.7862917711683871), 0, np.float64(431.15129651012205))",WeatherAthenryProcessed
02-29,"(np.float64(0.9800973627828306), 0, np.float64(1865.1096383477056))",WeatherAthenryProcessed
03-01,"(np.float64(0.8016466542955176), 0, np.float64(532.3872495305861))",WeatherAthenryProcessed
03-02,"(np.float64(0.7561502690051009), 0, np.float64(909.6005377739555))",WeatherAthenryProcessed
03-03,"(np.float64(0.8800709604517996), 0, np.float64(379.82058098136616))",WeatherAthenryProcessed
03-04,"(np.float64(0.7617263764243751), 0, np.float64(378.4263827132477))",WeatherAthenryProcessed
03-05,"(np.float64(0.7436820365349367), 0, np.float64(379.0489770762895))",WeatherAthenryProcessed
03-06,"(np.float64(0.8205420416058922), 0, np.float64(489.13892093095313))",WeatherAthenryProcessed
03-07,"(np.float64(0.969850853469866), 0, np.float64(1054.0965986494755))",WeatherAthenryProcessed
03-08,"(np.float64(1.303559241403681), 0, np.float64(1207.554123433864))",WeatherAthenryProcessed
03-09,"(np.float64(1.0669370333524508), 0, np.float64(1372.3265646913387))",WeatherAthenryProcessed
03-10,"(np.float64(0.7881099206366261), 0, np.float64(923.5926652971158))",WeatherAthenryProcessed
03-11,"(np.float64(0.8646727135364957), 0, np.float64(609.1766926256389))",WeatherAthenryProcessed
03-12,"(np.float64(0.8374638092460419), 0, np.float64(756.6590524479686))",WeatherAthenryProcessed
03-13,"(np.float64(0.7534616825661842), 0, np.float64(573.254650315355))",WeatherAthenryProcessed
03-14,"(np.float64(1.075762387135753), 0, np.float64(725.5265002009485))",WeatherAthenryProcessed
03-15,"(np.float64(1.2387201101374892), 0, np.float64(462.75737716794436))",WeatherAthenryProcessed
03-16,"(np.float64(1.0203931369474972), 0, np.float64(574.4249792003866))",WeatherAthenryProcessed
03-17,"(np.float64(0.8668552286731445), 0, np.float64(607.2106714022082))",WeatherAthenryProcessed
03-18,"(np.float64(0.770563846539035), 0, np.float64(739.9036686191615))",WeatherAthenryProcessed
03-19,"(np.float64(0.8184887131040772), 0, np.float64(661.9830797170852))",WeatherAthenryProcessed
03-20,"(np.float64(0.8238699228595892), 0, np.float64(479.747323297535))",WeatherAthenryProcessed
03-21,"(np.float64(0.8419662988865143), 0, np.float64(611.6404577888597))",WeatherAthenryProcessed
03-22,"(np.float64(0.9911932643683086), 0, np.float64(874.5267076007224))",WeatherAthenryProcessed
03-23,"(np.float64(1.1902284016831297), 0, np.float64(690.3763244281328))",WeatherAthenryProcessed
03-24,"(np.float64(0.9187889205994632), 0, np.float64(719.4006607932946))",WeatherAthenryProcessed
03-25,"(np.float64(0.890281954045824), 0, np.float64(449.8655661322753))",WeatherAthenryProcessed
03-26,"(np.float64(1.149331828391381), 0, np.float64(422.23184227513025))",WeatherAthenryProcessed
03-27,"(np.float64(1.170348752838358), 0, np.float64(512.6091215277013))",WeatherAthenryProcessed
03-28,"(np.float64(0.6557524053260341), 0, np.float64(641.5626761434075))",WeatherAthenryProcessed
03-29,"(np.float64(0.899596824110133), 0, np.float64(639.9081933511155))",WeatherAthenryProcessed
03-30,"(np.float64(0.9745905658110079), 0, np.float64(766.8386765175827))",WeatherAthenryProcessed
03-31,"(np.float64(0.8418860774213403), 0, np.float64(765.9734800015844))",WeatherAthenryProcessed
04-01,"(np.float64(1.0875284378109944), 0, np.float64(868.5250968043504))",WeatherAthenryProcessed
04-02,"(np.float64(1.217304780149696), 0, np.float64(575.3268327934402))",WeatherAthenryProcessed
04-03,"(np.float64(0.929720847743328), 0, np.float64(667.404529393249))",WeatherAthenryProcessed
04-04,"(np.float64(1.0228839964645453), 0, np.float64(647.2705579629855))",WeatherAthenryProcessed
04-05,"(np.float64(0.9252093792651772), 0, np.float64(871.1888936327882))",WeatherAthenryProcessed
04-06,"(np.float64(0.7852343178106431), 0, np.float64(1003.0714997041159))",WeatherAthenryProcessed
04-07,"(np.float64(0.8520419935141877), 0, np.float64(542.488643126453))",WeatherAthenryProcessed
04-08,"(np.float64(0.8558763154697011), 0, np.float64(512.1121728844648))",WeatherAthenryProcessed
04-09,"(np.float64(0.9871139155013516), 0, np.float64(489.4558684244279))",WeatherAthenryProcessed
04-10,"(np.float64(0.9246521485129399), 0, np.float64(639.6471785784545))",WeatherAthenryProcessed
04-11,"(np.float64(1.3258933218344278), 0, np.float64(592.9761245215097))",WeatherAthenryProcessed
04-12,"(np.float64(1.00725494847851), 0, np.float64(562.7995872309492))",WeatherAthenryProcessed
04-13,"(np.float64(0.8484434642655714), 0, np.float64(510.6276468310517))",WeatherAthenryProcessed
04-14,"(np.float64(0.8245748766764123), 0, np.float64(651.3982516808956))",WeatherAthenryProcessed
04-15,"(np.float64(0.7892707880343413), 0, np.float64(747.722957032533))",WeatherAthenryProcessed
04-16,"(np.float64(0.822474082898353), 0, np.float64(679.6236278319009))",WeatherAthenryProcessed
04-17,"(np.float64(0.8932080363376947), 0, np.float64(667.8336765832498))",WeatherAthenryProcessed
04-18,"(np.float64(0.9502202856144746), 0, np.float64(502.6484112457026))",WeatherAthenryProcessed
04-19,"(np.float64(1.4126935601871153), 0, np.float64(268.75583435272597))",WeatherAthenryProcessed
04-20,"(np.float64(0.8995252239477153), 0, np.float64(258.75882234743233))",WeatherAthenryProcessed
04-21,"(np.float64(1.079146779345334), 0, np.float64(448.9066156183478))",WeatherAthenryProcessed
04-22,"(np.float64(1.0513686273840799), 0, np.float64(551.4998941652295))",WeatherAthenryProcessed
04-23,"(np.float64(1.2273153467892566), 0, np.float64(424.22266775330854))",WeatherAthenryProcessed
04-24,"(np.float64(1.6982607902875724), 0, np.float64(364.33738313384436))",WeatherAthenryProcessed
04-25,"(np.float64(1.1303547867773287), 0, np.float64(641.895637003508))",WeatherAthenryProcessed
