Day_of_Year,glorad,Station_ID
01-01,"(np.float64(0.5751971081526511), np.float64(0.4950649148948491), 0, 1)",WeatherFinnerProcessed
01-02,"(np.float64(0.4994619773743899), np.float64(0.6200705534091718), 0, 1)",WeatherFinnerProcessed
01-03,"(np.float64(0.5463480313769026), np.float64(0.5172668061098948), 0, 1)",WeatherFinnerProcessed
01-04,"(np.float64(0.6307185370369881), np.float64(0.6200602405715989), 0, 1)",WeatherFinnerProcessed
01-05,"(np.float64(0.547176919215228), np.float64(0.6962933303048384), 0, 1)",WeatherFinnerProcessed
01-06,"(np.float64(0.5034373773050171), np.float64(0.40410986699580953), 0, 1)",WeatherFinnerProcessed
01-07,"(np.float64(0.503800438843234), np.float64(0.5809999246694169), 0, 1)",WeatherFinnerProcessed
01-08,"(np.float64(0.5223864385280338), np.float64(0.4484167406337806), 0, 1)",WeatherFinnerProcessed
01-09,"(np.float64(0.6119301212822494), np.float64(0.5332872132225912), 0, 1)",WeatherFinnerProcessed
01-10,"(np.float64(0.5826848370438527), np.float64(0.7676129758490614), 0, 1)",WeatherFinnerProcessed
01-11,"(np.float64(0.4432116935104378), np.float64(0.575282543694523), 0, 1)",WeatherFinnerProcessed
01-12,"(np.float64(0.5181881217364904), np.float64(0.5221896431707205), 0, 1)",WeatherFinnerProcessed
01-13,"(np.float64(0.5509763815285649), np.float64(0.5618448139828668), 0, 1)",WeatherFinnerProcessed
01-14,"(np.float64(0.592278559764974), np.float64(0.6260556239595944), 0, 1)",WeatherFinnerProcessed
01-15,"(np.float64(0.4236135865395735), np.float64(0.6131478347993978), 0, 1)",WeatherFinnerProcessed
01-16,"(np.float64(0.6259030949662453), np.float64(0.5616694535268043), 0, 1)",WeatherFinnerProcessed
01-17,"(np.float64(0.523554019634279), np.float64(0.6659859902668528), 0, 1)",WeatherFinnerProcessed
01-18,"(np.float64(0.5228435653902216), np.float64(0.44325449796447897), 0, 1)",WeatherFinnerProcessed
01-19,"(np.float64(0.517713522211124), np.float64(0.40686459353698234), 0, 1)",WeatherFinnerProcessed
01-20,"(np.float64(0.5224686417467149), np.float64(0.6131657302238281), 0, 1)",WeatherFinnerProcessed
01-21,"(np.float64(0.38662137022462634), np.float64(0.6054888465343665), 0, 1)",WeatherFinnerProcessed
01-22,"(np.float64(0.5347716274855497), np.float64(0.533295210756258), 0, 1)",WeatherFinnerProcessed
01-23,"(np.float64(0.5204765176449193), np.float64(0.6952147658345615), 0, 1)",WeatherFinnerProcessed
01-24,"(np.float64(0.5256293930509567), np.float64(0.5211667806206027), 0, 1)",WeatherFinnerProcessed
01-25,"(np.float64(0.3926590601145308), np.float64(0.5721906895178176), 0, 1)",WeatherFinnerProcessed
01-26,"(np.float64(0.5722166010812767), np.float64(0.5791314649992405), 0, 1)",WeatherFinnerProcessed
01-27,"(np.float64(0.634470432052702), np.float64(0.7889475239759518), 0, 1)",WeatherFinnerProcessed
01-28,"(np.float64(0.6568150976395106), np.float64(0.8035510194437631), 0, 1)",WeatherFinnerProcessed
01-29,"(np.float64(0.5199821284756169), np.float64(0.6343521127252043), 0, 1)",WeatherFinnerProcessed
01-30,"(np.float64(0.5051070596266318), np.float64(0.6972366910920791), 0, 1)",WeatherFinnerProcessed
01-31,"(np.float64(0.5442821825901699), np.float64(0.6189407476980208), 0, 1)",WeatherFinnerProcessed
02-01,"(np.float64(0.5856527313268789), np.float64(0.5619324138203639), 0, 1)",WeatherFinnerProcessed
02-02,"(np.float64(0.4804853764333644), np.float64(0.6476037606378744), 0, 1)",WeatherFinnerProcessed
02-03,"(np.float64(0.7798177051609225), np.float64(0.5745601618754415), 0, 1)",WeatherFinnerProcessed
02-04,"(np.float64(0.4640060200626769), np.float64(0.547651062603577), 0, 1)",WeatherFinnerProcessed
02-05,"(np.float64(0.39384091177863345), np.float64(0.6047776879275466), 0, 1)",WeatherFinnerProcessed
02-06,"(np.float64(0.49427282919421633), np.float64(0.5088268858362348), 0, 1)",WeatherFinnerProcessed
02-07,"(np.float64(0.6148236923351814), np.float64(0.612199434197255), 0, 1)",WeatherFinnerProcessed
02-08,"(np.float64(0.6905169456815029), np.float64(0.7598619178134354), 0, 1)",WeatherFinnerProcessed
02-09,"(np.float64(0.4876082214443138), np.float64(0.5831989135539364), 0, 1)",WeatherFinnerProcessed
02-10,"(np.float64(0.4357791300669208), np.float64(0.6324635104628232), 0, 1)",WeatherFinnerProcessed
02-11,"(np.float64(0.5160248190639227), np.float64(0.589542557355364), 0, 1)",WeatherFinnerProcessed
02-12,"(np.float64(0.5591779413362754), np.float64(0.4729608660668257), 0, 1)",WeatherFinnerProcessed
02-13,"(np.float64(0.5684867289631199), np.float64(0.6218049389812496), 0, 1)",WeatherFinnerProcessed
02-14,"(np.float64(0.6780299401362647), np.float64(0.494334658243188), 0, 1)",WeatherFinnerProcessed
02-15,"(np.float64(0.5686630321006213), np.float64(0.6032333814046558), 0, 1)",WeatherFinnerProcessed
02-16,"(np.float64(0.502955334505327), np.float64(0.637591660525668), 0, 1)",WeatherFinnerProcessed
02-17,"(np.float64(0.42383824974666906), np.float64(0.5198766715799786), 0, 1)",WeatherFinnerProcessed
02-18,"(np.float64(0.6590659697037629), np.float64(0.7709779499406598), 0, 1)",WeatherFinnerProcessed
