Day_of_Year,wdsp^3,Station_ID
01-01,"(np.float64(0.8590606070969853), 0, np.float64(2786.2528321749455))",WeatherFinnerProcessed
01-02,"(np.float64(0.8444950821070414), 0, np.float64(2529.120977009232))",WeatherFinnerProcessed
01-03,"(np.float64(0.582069281615228), 0, np.float64(3305.330837050108))",WeatherFinnerProcessed
01-04,"(np.float64(0.6555784080948013), 0, np.float64(1708.038236559335))",WeatherFinnerProcessed
01-05,"(np.float64(0.7207614931196356), 0, np.float64(1801.5179498274101))",WeatherFinnerProcessed
01-06,"(np.float64(0.8135149834151705), 0, np.float64(1756.36014238508))",WeatherFinnerProcessed
01-07,"(np.float64(0.7599554854037609), 0, np.float64(3153.7444502562685))",WeatherFinnerProcessed
01-08,"(np.float64(0.8277581109552092), 0, np.float64(1761.4131748128523))",WeatherFinnerProcessed
01-09,"(np.float64(0.6131013525774626), 0, np.float64(2192.3119836003175))",WeatherFinnerProcessed
01-10,"(np.float64(0.6394183297521849), 0, np.float64(2770.3142952155085))",WeatherFinnerProcessed
01-11,"(np.float64(0.6978696156880003), 0, np.float64(3348.609915798462))",WeatherFinnerProcessed
01-12,"(np.float64(0.7618082536249943), 0, np.float64(3717.199578641011))",WeatherFinnerProcessed
01-13,"(np.float64(0.6872980125378614), 0, np.float64(2053.8946381085843))",WeatherFinnerProcessed
01-14,"(np.float64(0.859872861783757), 0, np.float64(2607.6485772648425))",WeatherFinnerProcessed
01-15,"(np.float64(0.6971144232464319), 0, np.float64(2983.4330780795376))",WeatherFinnerProcessed
01-16,"(np.float64(0.6274406834685943), 0, np.float64(2181.85455237475))",WeatherFinnerProcessed
01-17,"(np.float64(0.7746592492668116), 0, np.float64(1168.5457382056243))",WeatherFinnerProcessed
01-18,"(np.float64(0.9687361385454774), 0, np.float64(1108.6043814348245))",WeatherFinnerProcessed
01-19,"(np.float64(0.6243348493795833), 0, np.float64(1149.3487026161001))",WeatherFinnerProcessed
01-20,"(np.float64(0.6958200206538245), 0, np.float64(1282.6324392600782))",WeatherFinnerProcessed
01-21,"(np.float64(0.709147330677261), 0, np.float64(2571.454968987046))",WeatherFinnerProcessed
01-22,"(np.float64(0.6793325200983453), 0, np.float64(2287.496848923296))",WeatherFinnerProcessed
01-23,"(np.float64(0.7888087998622997), 0, np.float64(2074.2521957479153))",WeatherFinnerProcessed
01-24,"(np.float64(1.0521738700356726), 0, np.float64(1934.2409679050847))",WeatherFinnerProcessed
01-25,"(np.float64(1.2802875734839487), 0, np.float64(3476.119670515116))",WeatherFinnerProcessed
