,WeatherAthenryProcessed_wdsp^3,WeatherAthenryProcessed_glorad,WeatherFinnerProcessed_wdsp^3,WeatherFinnerProcessed_glorad
01-01,1107.1059670056002,0.46806688113731554,3250.810832597019,0.601124982961307
01-02,1312.06339493725,0.48008710939568555,4064.5473466565186,0.36803260448853453
01-03,1514.7399680923088,0.5441822168558014,3604.834634221386,0.3356370873892753
01-04,293.21932674032706,0.29929963004716037,1608.4386506303076,0.19668508368923637
01-05,459.934964259809,0.38660111461719976,2112.4570973350847,0.5170388084476641
01-06,859.7174089657699,0.4864934375358887,1555.920838562511,0.36882143425369235
01-07,1460.9439092847795,0.5651975013185507,728.0503052110777,0.7171874214562755
01-08,426.6451728560534,0.677287934512637,2442.859800979122,0.4603856747843948
01-09,435.4894267043336,0.4790817008695937,1333.6572518809774,0.6373959370243905
01-10,912.5054519130456,0.5310334098623527,8080.12451982526,0.28094083250799756
01-11,1839.5430983734132,0.5554215181052834,2106.266779087169,0.7239214738895237
01-12,1973.7449901457271,0.5396619012894596,3359.271435612939,0.43378378731189093
01-13,392.6465635168441,0.4640344642195009,561.1068064949841,0.6796860487289769
01-14,927.0802173471524,0.8305155221285642,213.51006507762958,0.7847246626282234
01-15,684.0032426759965,0.2370384635581297,2047.7610969692244,0.46716906036189787
01-16,224.27026455101054,0.2577086662302779,1676.719367775228,0.43275823325103085
01-17,224.48991193859638,0.669327236439176,2121.894934018344,0.3543470883303149
01-18,66.3683638665187,0.24757688744035872,1129.9759368887997,0.48640100960512145
01-19,185.53430310025493,0.6526044761795113,1176.1419089023818,0.8245610225485851
01-20,210.93625341768507,0.4641833609192797,2392.8214899869895,0.5430709687209979
01-21,765.7476548564415,0.5345013121602344,9450.487180427881,0.5538260425134776
01-22,280.09206912997917,0.8134687578334339,2858.951956014236,0.6215669094597225
01-23,306.93128735608377,0.5860705965628172,1325.3773583514248,0.3280301536435181
01-24,503.2484786362585,0.8142601800244499,1553.9954720819394,0.2216506556661945
01-25,324.3713858248167,0.36867445552436573,2404.819894880285,0.3057117542101709
01-26,1796.402644899988,0.560872194487583,3053.232362459713,0.5226697491231256
01-27,549.3949632522912,0.6097485478964415,1655.3269378923426,0.24679872191956148
01-28,3838.1484143901675,0.2561087296216954,1452.264051331566,0.3515153945658692
01-29,840.7891982799163,0.8700034047029307,11404.218573798651,0.3616501834301362
01-30,733.9524874690325,0.32792557489974405,2483.001659850349,0.5655419261475996
01-31,2533.6670046147847,0.3965044908820454,5058.05136765643,0.4899204443543616
02-01,1183.401752502707,0.3754041569289222,7947.026025318117,0.3599609457828704
02-02,610.7976522505977,0.7493946128727369,5079.155989066191,0.4581315514921229
02-03,1029.1607522419179,0.21263444241626814,1055.5267549535579,0.825727334757619
02-04,693.118254055233,0.4552087534456276,2359.8728013349582,0.4961286544076707
02-05,556.1427530011854,0.3608604428752479,1394.2147613388315,0.3109553190258326
02-06,437.6489384026248,0.14864318328783277,847.9185923387947,0.5981095987130642
02-07,1318.1862605789306,0.3330282902112404,1479.7158895692367,0.5967481068242829
02-08,643.8485114900013,0.7249708957614228,3152.093093700994,0.48113358761566616
02-09,795.1560402959856,0.5195198293115447,1137.1573136705945,0.6487006964894114
02-10,1745.1549589511342,0.561039142290319,1101.4026991426053,0.5364913417198377
02-11,255.8307251666456,0.39604011531459193,2197.1765456991748,0.6790013498157418
02-12,612.4042850372605,0.36767254049906717,2444.349343585113,0.4992198286963466
02-13,1046.2182285175902,0.46185756855401394,8475.573783964053,0.44685795165436326
02-14,926.2250366756065,0.6864027600335075,1601.4339459527414,0.4727061624526502
02-15,623.6984290728091,0.381671244537119,2891.577513153506,0.22869100808503387
02-16,718.9852578898317,0.4364331085790452,2561.1195593465764,0.44300775426978795
02-17,778.3263225840794,0.4537020348904724,3738.088431042658,0.28650988204721534
02-18,445.8699926316297,0.6359537520875784,4152.755234178789,0.585156867777975
02-19,578.372805248405,0.23612717513844844,1847.266457175255,0.6660886575399587
02-20,828.2493129495239,0.6951240951951363,2738.360385688874,0.550174905196652
02-21,1306.9769520983295,0.48796554876949816,3616.212428031677,0.3718447857073398
02-22,833.9714395089892,0.4075637360305575,1954.2086135630148,0.259015989919025
02-23,3202.624568061622,0.44696056542306356,2925.618338837517,0.29322897892493477
02-24,578.490274226607,0.44557783627017444,1736.3225874306922,0.42951848012284677
02-25,766.0877121279616,0.4240851286649918,1493.0372521627953,0.30888282899375064
02-26,473.1965028533985,0.5296715372114198,1585.0749598911898,0.45268926608261023
02-27,391.2079325995751,0.7574820169348221,775.8620143300078,0.4145225711316919
02-28,567.0443476868984,0.40540666930138497,565.7784827684249,0.2027288186584343
02-29,2444.6880908520934,0.46914920767524143,4416.883453728129,0.4176595908752434
03-01,472.4952712370958,0.43096038312409035,776.3132614004269,0.8402012719552825
03-02,739.6906949267822,0.46539849467666894,3492.199224927578,0.8465332536826511
03-03,694.9592236762094,0.6748355791369514,1412.0289427376747,0.6052193852066495
03-04,187.60799145608922,0.09622188992444912,1269.994686043145,0.41974377213604475
03-05,272.37743471020184,0.4562800125906878,712.6691698121913,0.4791283276235114
03-06,798.5950292845416,0.46710363934341126,3044.88653094702,0.5579263978092059
03-07,1483.1809883609942,0.5153091017675813,986.0639872819207,0.6441105836257105
03-08,571.2939294773378,0.25309791664530634,2578.7944131243835,0.5704492240076938
03-09,1354.7699833136755,0.27030309585925705,4033.137310464446,0.276694955763667
03-10,1418.2033560967955,0.8037221654121701,569.9049063601199,0.390045224637916
03-11,720.604207324893,0.40639243904460665,1332.6968523530618,0.6310668136788957
03-12,604.1772998863477,0.598751221417056,3976.6014272938182,0.6753565166628235
03-13,818.2150300735523,0.4641469402503695,2823.584522470817,0.5216605929466305
03-14,601.4777221752186,0.6252749024819186,1918.8522559553687,0.4094253876355037
03-15,475.2049237257408,0.4391405830239009,1193.2983809046248,0.5219413626391185
03-16,526.0752963713154,0.17644491587066274,1689.3184022921025,0.4582368573355577
03-17,762.3571502699872,0.5062716895508789,2625.8090153190788,0.5397038450118335
03-18,1266.8471565020113,0.3367576968439308,1144.8028480722146,0.35284463385783316
03-19,573.615003747125,0.7152806669187175,917.8781579342461,0.6000537570181963
03-20,586.7373349824874,0.6051474184038816,1086.6522525596747,0.4568810533433442
03-21,584.2477734678778,0.4672300406714286,1965.2142994663307,0.20320948320888607
03-22,1918.4327095450594,0.6443658748551602,900.8966493646061,0.515239883938589
03-23,600.8875408174418,0.5931569893405587,1997.5607729858057,0.41110019268987347
03-24,624.6978845647325,0.1578851501344515,1394.0409879814954,0.40789608047275916
03-25,648.2951477642227,0.5060925848808185,857.7159110974101,0.5351223268635253
03-26,583.9943254781347,0.7250076926367187,534.1023803043648,0.37128562166388135
03-27,210.69628855826295,0.6983530241138818,1174.9659868152064,0.598303933490274
03-28,1686.1896316957416,0.687035199188707,1511.6850665003183,0.48813531095609336
03-29,672.8301836417174,0.3286359707093952,884.7860748991546,0.7786896398342213
03-30,1206.50109524361,0.43345141472384385,1462.9244310893964,0.8627116914009163
03-31,1107.5870718361239,0.6254781914465698,1192.6971440962175,0.37830589816593363
04-01,515.478436148245,0.46423523592911453,1561.6079988531092,0.49220845586110695
04-02,897.516215428605,0.3063912741109383,1591.5616649973094,0.5617427020168236
04-03,948.9834596640609,0.4883566598361594,1663.4225802314565,0.571998705209912
04-04,473.0020370115215,0.7135744306508085,1571.4927445774372,0.495291926391306
04-05,978.4018150786411,0.7138212777308344,1269.144160150919,0.6573257421720429
