,WeatherAthenryProcessed_wdsp^3,WeatherAthenryProcessed_glorad,WeatherFinnerProcessed_wdsp^3,WeatherFinnerProcessed_glorad
01-01,844.7726502246624,0.40198500689363853,5369.422371236287,0.40129568836448554
01-02,1125.8051361988794,0.32623492232432466,6190.122124181395,0.33165700448729724
01-03,1943.8171068027368,0.4461031182066511,5916.900621237273,0.40123365029041763
01-04,278.72374235131304,0.19087817363838785,2282.2325194398773,0.22219178399652553
01-05,446.2041440488799,0.31640237083191486,1936.0501716120693,0.3014344432061193
01-06,1100.9954110904034,0.15536873038746035,2084.766337136885,0.3620434102206365
01-07,969.6572084627551,0.33815190416865404,481.04311109535035,0.21004850843570327
01-08,313.1780910896815,0.27865522982916197,1815.1034011369618,0.4854193755393638
01-09,352.06095612011205,0.252589386261915,1114.0609979482997,0.4061572374165936
01-10,1075.463066650099,0.3110549294689502,7949.466989620702,0.17413986050099817
01-11,1532.332391938442,0.31964549992874297,3071.1958907186245,0.29155472617213585
01-12,2058.2130699153868,0.23170347580775477,3912.370008874943,0.280031133824046
01-13,308.404469571014,0.4013339360805377,715.2656421340221,0.36784941767171225
01-14,676.4903921166895,0.23557953516491542,165.19650898223068,0.19642248450543812
01-15,1265.5220622841018,0.35375105100817616,1171.2981368646738,0.277499243377543
01-16,298.3673134163379,0.41827435288662196,2348.522309836374,0.42926532073186346
01-17,162.62669182514418,0.23233504361998095,2363.805334703086,0.37434269280394655
01-18,64.95139405320975,0.3473741609038851,684.5489562215391,0.3997294605879463
01-19,230.6667257669694,0.3879285612627805,1218.3885050596682,0.19137710335898897
01-20,366.18712281319216,0.3035227163503868,3053.963253619338,0.3388845213824018
01-21,952.2907447477484,0.22309855826988456,13969.371774619009,0.4143051461875154
01-22,211.33494905678506,0.25291512278986467,4035.9371205494813,0.41057935093151504
01-23,659.9717210922192,0.2756858257470589,1404.4090513057286,0.3084783956744952
01-24,507.9577005437405,0.15709529829543928,1163.0439398786166,0.16796737615823715
01-25,155.60451547275935,0.32311749020130665,1546.6003265158765,0.406850255226187
01-26,1468.3950246686536,0.2711024482810012,2457.9593651479154,0.22953421526529158
01-27,701.080355921532,0.3521619230133653,1565.880878796105,0.13812653326883578
01-28,5760.537994581502,0.13889787887395233,2491.3013598884495,0.3273407318409839
01-29,557.6878063056399,0.108638907445481,13439.103456801648,0.39172114715141776
01-30,857.8093319794957,0.23982183307043886,3203.688763269474,0.37785629726579445
01-31,2760.5786560812685,0.30945982146895784,4911.944876385224,0.3224601779572808
02-01,1330.832976416661,0.39569917513971303,3681.418253946739,0.3325006220271638
02-02,782.5309449910884,0.17240215947083312,3577.818259334537,0.35258983786083975
02-03,752.6666894778849,0.28221518876341184,821.690456546211,0.09071382227979753
02-04,857.6817194184695,0.38804180777791125,1161.4189934578164,0.3564762663103227
02-05,449.84493939907594,0.3223119911178197,1548.1288680700084,0.37943888458435043
02-06,319.7548532266593,0.1474418069043866,757.8189380280737,0.3318455266452557
02-07,1757.207981830681,0.09348222057889582,973.3942501338119,0.3680437927847497
02-08,515.3608057545621,0.2934107100628099,1796.5327586839333,0.37372889972432255
02-09,548.2132889115071,0.4237072989527102,1215.8663086388924,0.29381035375476144
02-10,2350.825956846594,0.4928578278635728,1045.7106324652202,0.34159714762885096
02-11,257.82088407825495,0.4493568957141731,3893.638973974728,0.289307186477204
02-12,457.23057804389055,0.4276609398666507,1435.6127249613496,0.30037180111254524
02-13,958.2268267795872,0.325064396886118,6626.020530551565,0.31245511808591886
02-14,974.7166577735203,0.38104725200414524,741.3821195036613,0.28572398116519376
02-15,708.0987607217173,0.43266143791658856,1662.1365559037695,0.2155251372579686
02-16,645.0714931804174,0.3072433352163837,1859.2110078546966,0.3929096870804768
02-17,821.8611116735657,0.4079859297809017,4600.576393731194,0.39941845246122104
02-18,309.5346913218365,0.2698428548350288,2803.12357481616,0.19702382420241027
02-19,443.4843483248006,0.4043644540841808,1243.274673495701,0.2977357527349206
02-20,517.441933518753,0.3154308792537196,2843.161066976551,0.33632665207878704
02-21,1703.9847943174495,0.43386652770002715,4627.444437153481,0.3974137667836244
02-22,1039.6540902134946,0.34598794336527466,2327.0604240992357,0.3882555947940888
02-23,4244.899609686422,0.3877537888222616,4263.892476924668,0.3792255585097838
02-24,97.03755684883421,0.3104877561406259,1743.6825036189855,0.35012667880187137
02-25,529.1848823556817,0.42600512640753585,1651.0040723535767,0.16820323282882096
02-26,358.2819531099193,0.4316590075015336,2743.9341212225017,0.29488832804031295
02-27,541.7366797805604,0.13639886488972852,650.9345289229601,0.39461876631056314
02-28,728.7656148842085,0.3441045177168558,791.5652680835514,0.27358016627417747
02-29,2131.0246111284987,0.32482342660682734,3069.422679462845,0.4560680188552546
03-01,429.525535262953,0.4153063651770581,803.7343449572959,0.0797448496702395
03-02,1200.848968078396,0.22846029051890845,1724.5908032012292,0.15090939096373465
03-03,264.7295077058404,0.2895104858931852,1011.5926788686727,0.3786882665221154
03-04,191.12308041060922,0.0849084329378195,2443.595142952946,0.44282482473680845
03-05,397.65427837912176,0.42418389323020284,654.6365792203283,0.3137765387893428
03-06,406.818571942533,0.3503481687144934,3707.0890765478644,0.3827807968273481
03-07,1072.0219499776267,0.4458372777408581,857.5686762930418,0.4043323395890508
03-08,260.24118569606463,0.40728980947276683,1314.941040529308,0.29394591045203605
03-09,962.0631445883113,0.38411762427878904,1274.5625514847518,0.40681096877988154
03-10,2615.393318617958,0.21128743492610377,425.7159011455555,0.21621380941261303
03-11,1002.0402578812661,0.3633801544494769,283.099637197195,0.2209646584291258
03-12,767.4735300788898,0.38533884069968943,4310.294627222762,0.4127293069785125
03-13,1178.5290977774036,0.2800420402130156,1961.6466547081554,0.33775513264546636
03-14,628.0090945545994,0.3546749328193706,3113.2919801042553,0.4530292525485345
03-15,383.52684539256137,0.36020032861878526,1314.1784969963537,0.40330684359821045
03-16,500.2294551604064,0.17599905349836126,947.7937882067687,0.21125782697111384
03-17,734.1261506322402,0.4132558581869106,2600.991547541885,0.40950353622202623
03-18,1926.327193497015,0.36275330092032676,931.8448005135127,0.36813294220193743
03-19,826.9232476242379,0.2894653511609231,1078.3804418214017,0.3152215037104839
03-20,417.6237435843594,0.40459757747935093,1689.7191795291249,0.3357153662170656
03-21,450.9584489669313,0.3996243008372185,1288.2578982753569,0.19963817358754637
03-22,2129.427147716725,0.36833045300193146,1750.414943043818,0.320911695672566
03-23,532.5718482837418,0.4005925861067347,1574.8598557714831,0.3560636581736447
03-24,468.54789024656003,0.18298928310143672,998.9653981471081,0.2192441706025516
